,year,title,published_at,category,nominee,artist,workers,winner
3610,1983,26th Annual GRAMMY Awards  (1983),2017-11-28 00:03:45-08:00,Best Country Instrumental Performance,Fireball,The New South,,True
3611,1983,26th Annual GRAMMY Awards  (1983),2017-11-28 00:03:45-08:00,Best New Country Song,Stranger In My House,,"Mike Reid, songwriter (Ronnie Milsap)",True
3612,1983,26th Annual GRAMMY Awards  (1983),2017-11-28 00:03:45-08:00,"Best Gospel Performance, Female",Ageless Medley,Amy Grant,,True
3613,1983,26th Annual GRAMMY Awards  (1983),2017-11-28 00:03:45-08:00,"Best Gospel Performance, Male",Walls Of Glass,Russ Taff,,True
3614,1983,26th Annual GRAMMY Awards  (1983),2017-11-28 00:03:45-08:00,Best Gospel Performance By A Duo Or Group,More Than Wonderful,Sandi Patti & Larnelle Harris,,True
3615,1983,26th Annual GRAMMY Awards  (1983),2017-11-28 00:03:45-08:00,"Best Soul Gospel Performance, Male",I'll Rise Again,Al Green,,True
3616,1983,26th Annual GRAMMY Awards  (1983),2017-11-28 00:03:45-08:00,Best Soul Gospel Performance By A Duo Or Group,I'm So Glad I'm Standing Here Today,Barbara Mandrell & Bobby Jones,,True
3617,1983,26th Annual GRAMMY Awards  (1983),2017-11-28 00:03:45-08:00,Best Inspirational Performance,He's A Rebel,Donna Summer,,True
3618,1983,26th Annual GRAMMY Awards  (1983),2017-11-28 00:03:45-08:00,Best Latin Pop Performance,Me Enamore,Jose Feliciano,,True
3619,1983,26th Annual GRAMMY Awards  (1983),2017-11-28 00:03:45-08:00,Best Tropical Latin Performance,On Broadway,Tito Puente & His Latin Ensemble,,True
3620,1983,26th Annual GRAMMY Awards  (1983),2017-11-28 00:03:45-08:00,Best Mexican-American Performance,Anselma,Los Lobos,,True
3621,1983,26th Annual GRAMMY Awards  (1983),2017-11-28 00:03:45-08:00,Best Traditional Blues Recording,Blues 'N' Jazz,B.B. King,,True
3622,1983,26th Annual GRAMMY Awards  (1983),2017-11-28 00:03:45-08:00,Best Ethnic Or Traditional Folk Recording,I'm Here,Clifton Chenier & His Red Hot Louisiana Band,,True
3623,1983,26th Annual GRAMMY Awards  (1983),2017-11-28 00:03:45-08:00,Best Recording For Children,E.T. The Extra-Terrestrial,Michael Jackson,,True
3624,1983,26th Annual GRAMMY Awards  (1983),2017-11-28 00:03:45-08:00,Best Comedy Recording,Eddie Murphy: Comedian,Eddie Murphy,,True
3625,1983,26th Annual GRAMMY Awards  (1983),2017-11-28 00:03:45-08:00,Best Spoken Word Or Non-Musical Recording,Copland: A Lincoln Portrait,William Warfield,,True
3626,1983,26th Annual GRAMMY Awards  (1983),2017-11-28 00:03:45-08:00,Best Instrumental Composition,Love Theme From Flashdance,,"Giorgio Moroder, composer (Various Artists (Helen St. John))",True
3627,1983,26th Annual GRAMMY Awards  (1983),2017-11-28 00:03:45-08:00,Best Album Of Original Score Written For A Motion Picture Or A Television Special,Flashdance,,"Michael Boddicker, Irene Cara, Kim Carnes, Douglas Cotler, Keith Forsey, Richard Gilbert, Jerry Hey, Duane Hitchings, Craig Krampf, Ronald Magness, Dennis Matkosky, Giorgio Moroder, Phil Ramone, Michael Sembello & Shandi Sinnamon, composers (Various Artists)",True
3628,1983,26th Annual GRAMMY Awards  (1983),2017-11-28 00:03:45-08:00,Best Cast Show Album,Cats (Complete Original Broadway Cast Recording),,"Andrew Lloyd Webber, producer (Original Broadway Cast)",True
3629,1983,26th Annual GRAMMY Awards  (1983),2017-11-28 00:03:45-08:00,"Best Video, Short Form",Girls On Film/Hungry Like The Wolf,Duran Duran,,True
3630,1983,26th Annual GRAMMY Awards  (1983),2017-11-28 00:03:45-08:00,Best Video Album,Duran Duran,Duran Duran,,True
3631,1983,26th Annual GRAMMY Awards  (1983),2017-11-28 00:03:45-08:00,"Best Jazz Vocal Performance, Female",The Best Is Yet To Come,Ella Fitzgerald,,True
3632,1983,26th Annual GRAMMY Awards  (1983),2017-11-28 00:03:45-08:00,"Best Jazz Vocal Performance, Male",Top Drawer,Mel Tormé,,True
3633,1983,26th Annual GRAMMY Awards  (1983),2017-11-28 00:03:45-08:00,"Best Jazz Vocal Performance, Duo Or Group",Why Not!,The Manhattan Transfer,,True
3634,1983,26th Annual GRAMMY Awards  (1983),2017-11-28 00:03:45-08:00,"Best Jazz Instrumental Performance, Soloist",Think Of One,,"Wynton Marsalis, soloist",True
3635,1983,26th Annual GRAMMY Awards  (1983),2017-11-28 00:03:45-08:00,"Best Jazz Instrumental Performance, Group",At The Vanguard,The Phil Woods Quartet,,True
3636,1983,26th Annual GRAMMY Awards  (1983),2017-11-28 00:03:45-08:00,"Best Jazz Instrumental Performance, Big Band",All In Good Time,Rob McConnell & The Boss Brass,,True
3637,1983,26th Annual GRAMMY Awards  (1983),2017-11-28 00:03:45-08:00,Best Arrangement On An Instrumental,Summer Sketches '82,,"Dave Grusin, arranger (Dave Grusin)",True
